ecg,ppg
-0.03784,-0.10376
-0.06226,-0.10742
-0.06836,-0.1416
-0.07446,-0.16113
-0.06104,-0.17212
-0.05615,-0.21118
-0.05005,-0.21362
-0.03906,-0.25146
-0.04395,-0.2832
-0.05615,-0.29541
-0.07324,-0.30518
-0.08911,-0.33203
-0.0769,-0.36011
-0.04395,-0.37598
-0.01221,-0.39429
0.02563,-0.40894
0.0647,-0.4126
0.13794,-0.42603
0.18799,-0.448
0.19043,-0.4541
0.11841,-0.4895
-0.00122,-0.49072
-0.11841,-0.51147
-0.18921,-0.53467
-0.19287,-0.53101
-0.13428,-0.5542
-0.09033,-0.57495
-0.05615,-0.59448
-0.05371,-0.58838
-0.05615,-0.60303
-0.05615,-0.6311
-0.0415,-0.63477
-0.00732,-0.65186
0.0061,-0.64331
0.00732,-0.6604
-0.01343,-0.68359
-0.02808,-0.69458
-0.02441,-0.7019
-0.0061,-0.69946
0.00488,-0.69946
0.02075,-0.71655
0.01953,-0.71533
0.01831,-0.74585
0.01221,-0.75195
0.02197,-0.76294
0.02808,-0.7666
0.03052,-0.78247
0.0354,-0.78369
0.04395,-0.77637
0.06226,-0.79346
0.07568,-0.78735
0.07813,-0.79468
0.07568,-0.82031
0.07202,-0.802
0.07813,-0.82764
0.07935,-0.81299
0.08667,-0.80322
0.09766,-0.77393
0.09521,-0.75806
0.10254,-0.71289
0.11108,-0.63721
0.12451,-0.5957
0.12085,-0.49805
0.08545,-0.43823
0.0647,-0.34546
0.0647,-0.25269
0.08057,-0.15137
0.08057,-0.04883
0.06958,0.05493
0.05249,0.14893
0.03784,0.23315
0.00732,0.34302
-0.0293,0.4187
-0.05005,0.47607
-0.04883,0.55298
-0.03418,0.625
-0.02808,0.65674
-0.04517,0.70435
-0.07446,0.72266
-0.1001,0.76294
-0.10254,0.76172
-0.09766,0.77881
-0.09277,0.78857
-0.09155,0.76294
-0.08057,0.76416
-0.0647,0.73975
-0.06958,0.71655
-0.06958,0.70679
-0.07568,0.67749
-0.07202,0.65063
-0.06714,0.625
-0.06958,0.61646
-0.06714,0.56885
-0.06836,0.5481
-0.05981,0.54688
-0.05127,0.51514
-0.05371,0.48828
-0.06714,0.46509
-0.07324,0.45898
-0.07568,0.448
-0.05493,0.4126
-0.05249,0.41138
-0.03418,0.38086
-0.04883,0.36743
-0.06836,0.35889
-0.07202,0.34912
-0.0708,0.33813
-0.05493,0.29785
-0.04395,0.30029
-0.05005,0.28564
-0.04517,0.26978
-0.04395,0.22827
-0.03906,0.22339
-0.04761,0.20264
-0.05859,0.2063
-0.05371,0.19409
-0.05615,0.15869
-0.06592,0.16113
-0.07446,0.1355
-0.08179,0.14893
-0.06836,0.13794
-0.06592,0.12817
-0.05615,0.12817
-0.05127,0.11597
-0.06226,0.09644
-0.05737,0.10864
-0.0647,0.10254
-0.05859,0.10376
-0.04883,0.09644
-0.05249,0.08057
-0.04272,0.09766
-0.05371,0.07446
-0.05249,0.07324
-0.0647,0.05859
-0.06714,0.05005
-0.06104,0.04883
-0.04639,0.03906
-0.0354,0.04517
-0.0354,0.01587
-0.04639,0.02197
-0.04395,-0.00854
-0.04395,-0.02686
-0.02808,-0.03418
-0.00122,-0.05859
0.02075,-0.07568
0.03174,-0.08667
0.02319,-0.1001
0.02441,-0.10498
0.02563,-0.1355
0.00732,-0.13916
-0.01465,-0.15991
-0.02319,-0.2002
-0.01465,-0.21851
-0.01465,-0.22949
-0.01587,-0.26611
-0.02563,-0.28198
-0.02563,-0.29053
-0.02686,-0.31494
-0.0354,-0.31738
-0.04883,-0.34912
-0.05859,-0.36377
-0.06348,-0.37842
-0.05249,-0.40771
-0.04883,-0.43945
-0.0293,-0.43701
-0.01587,-0.45288
-0.01221,-0.48706
0.00977,-0.49561
0.01953,-0.50415
0.05493,-0.53345
0.11719,-0.54321
0.18188,-0.55786
0.19653,-0.56763
0.14526,-0.57373
0.03418,-0.60059
-0.0708,-0.60059
-0.15625,-0.63354
-0.17212,-0.65063
-0.14893,-0.65918
-0.1123,-0.67139
-0.0769,-0.68481
-0.05615,-0.67871
-0.02075,-0.68726
-0.00977,-0.70068
-0.00854,-0.71777
-0.01221,-0.72144
-0.02319,-0.74097
-0.01099,-0.72998
-0.00122,-0.74097
0.01221,-0.75928
0.02441,-0.75806
